Rank,Points,Referrals,Points from Referrals,Owner
1,3467942007,0,155369717,0x05...e519
2,3101787107,0,97954366,0xa6...D293
3,2091783988,2,117800658,0x5e...2B72
4,1418675989,0,61383638,0x95...35b5
5,1298656405,0,0,0x94...F075
6,1244214079,0,0,0x7a...f8ae
7,1075999330,0,0,0xe1...1f82
8,921306840,1,199953465,0x1e...16b8
9,797239989,0,1344120,0x36...0636
10,712335777,11,711657306,0x13...9Cf3
11,702130565,0,33149052,0x5f...8F38
12,579110668,1,342301,0xab...2078
13,553373737,0,0,0x5c...29a0
14,519485192,0,0,0xaa...DCE4
15,447019665,0,0,0xF8...f94E
16,439084653,0,13925277,0x3D...36a7
17,417042465,0,19828921,0xf8...5875
18,408777789,0,0,0xC1...4bAa
19,389833844,0,18581886,0x7B...6089
20,371564224,0,17711038,0x68...36D1
21,359879395,1,17771759,0x4d...8f20
22,336147882,0,15818726,0x6f...6EE3
23,319565639,0,15185218,0xa1...5E9A
24,286460209,19,286460109,0xcF...0760
25,260587944,0,12421819,0x01...4013
26,250416431,0,0,0xD5...258b
27,243608383,0,0,0xC8...5f29
28,238621970,0,0,0xDA...eAFF
29,226355077,0,0,0xD7...b17E
30,225452064,0,0,0xBb...faBF
31,201542661,0,0,0x6D...b291
32,180892833,0,8613896,0xE9...f959
33,170259832,0,0,0xcC...0193
34,168276224,0,0,0xb2...7D63
35,163314498,0,694553,0x20...037A
36,160046439,0,0,0xF8...f7b8
37,148501966,0,0,0x45...6eE1
38,148238268,0,0,0x79...181E
39,143819948,0,6838229,0x6D...8292
40,138052129,3,3299489,0xa0...387b
41,132900543,0,0,0x99...3050
42,131736212,0,0,0x1D...4124
43,129526999,0,6104697,0x9f...bCBb
44,127869444,0,0,0x17...5633
45,125341157,0,5959403,0xc8...B6f9
46,121631870,0,5797621,0x4F...a371
47,119836877,0,0,0x30...7a5c
48,115586634,0,0,0x02...a921
49,114545982,0,0,0x3f...761c
50,109832973,1,6251466,0xa2...aEF6
51,104924501,0,0,0x36...5A26
52,100988443,5,9901639,0x6E...bBD3
53,97380287,1,34678537,0xf5...cb5b
54,95577120,0,0,0x3F...2FA4
55,95339746,0,0,0xD7...5dc1
56,94385386,3,18949377,0x12...A27b
57,92656858,0,0,0x02...B24B
58,86963171,0,0,0xC2...3ea9
59,86571448,1,3385470,0xe0...16eb
60,81832149,0,0,0x8d...3167
61,81674286,0,0,0xAe...733f
62,77945565,0,0,0xcE...d1D4
63,73710064,0,0,0xB3...5AB9
64,72414494,0,0,0x5E...83C1
65,70911199,0,0,0x31...20CE
66,70438413,0,3332909,0xF1...5928
67,69080692,0,0,0x71...06D4
68,68476343,0,0,0x7E...39B1
69,67696352,0,0,0x80...3A2A
70,62468468,0,0,0x6A...62Ed
71,58324562,0,0,0x00...c988
72,57878334,0,0,0xFB...947a
73,56481541,0,0,0xAF...cf11
74,56259994,0,0,0x25...61d6
75,55826394,0,0,0x07...49a2
76,53653734,0,0,0xEb...f70e
77,52696376,0,0,0x24...4B91
78,50874467,1,34894,0x77...32b2
79,50821345,0,0,0x02...5f10
80,50586723,0,0,0xd8...6a53
81,49010828,0,0,0x94...6AE7
82,48757360,0,2414799,0x8a...a7Ff
83,48747927,0,0,0xd6...7C81
84,48451469,0,0,0xA5...b7dA
85,48434499,0,0,0x73...51B3
86,48268952,0,0,0xcE...C055
87,46585252,0,0,0x1E...Bea0
88,46305353,0,0,0x3D...A159
89,44981392,0,0,0xa6...F0eE
90,44664399,0,0,0x16...4e22
91,44650925,1,4248105,0x7a...20F8
92,43426343,0,0,0xA6...BA05
93,43140594,0,0,0x48...Bc88
94,42307683,0,0,0x8D...60D9
95,40585591,0,0,0x14...05B8
96,40500084,0,0,0x07...10E5
97,39672019,0,0,0xDb...716d
98,39140201,0,0,0x06...1f73
99,38357863,0,0,0x06...E604
100,37804700,0,0,0xa6...eBD8
101,37084446,0,0,0xfA...899A
102,36921656,0,90158,0xd7...cA02
103,35904490,0,0,0x6f...E243
104,35393019,0,0,0x99...F351
105,35169652,0,0,0xe0...5d22
106,34870259,0,1649677,0x66...DE32
107,34791276,1,3439186,0x03...5637
108,34340598,0,0,0xA4...7E84
109,33218690,0,0,0x0e...F559
110,32722275,0,0,0x84...D714
111,32272777,0,0,0xb3...D352
112,31951989,0,0,0x56...B06e
113,31271332,0,0,0x88...c176
114,31235832,0,0,0x0b...2F6D
115,31035918,3,347313,0x3c...7fe2
116,31027822,0,0,0xF1...08F3
117,30918469,0,1345534,0x35...309d
118,30079961,0,1495885,0x83...fcfa
119,29389800,0,0,0x3b...E270
120,29115232,0,1387728,0x8a...B760
121,28880995,1,933930,0xc3...E3e6
122,28136914,6,682550,0xA1...800d
123,27499499,0,0,0xdC...0312
124,27470005,0,1309298,0x3E...Ae0B
125,27086132,0,0,0x14...0802
126,27007868,4,89540,0x8e...020D
127,26774846,0,0,0xf1...B06a
128,26248539,0,0,0x8a...c8D3
129,25620288,7,9346138,0xD0...350d
130,25365320,0,0,0xB8...8D0D
131,25356280,0,857168,0xf0...EAb1
132,25119441,0,1195532,0x6a...35bB
133,25047802,0,1179032,0xfA...b96c
134,24868440,1,2200133,0x51...9C1d
135,24136728,1,4924348,0xb3...839C
136,22765349,0,1052091,0x45...271a
137,22322801,5,2095646,0xDB...6130
138,21868235,0,0,0x02...3e09
139,21817529,0,1043017,0x29...5f35
140,21753610,0,0,0x82...4112
141,21325001,0,0,0xC2...8C43
142,21220212,0,0,0x3E...2a01
143,21199826,0,898425,0xAB...f176
144,21061492,0,0,0x65...A5Fb
145,20455781,0,0,0xe2...27Fb
146,20368885,0,0,0x49...97a2
147,19551022,0,0,0x8e...05B4
148,19522989,0,0,0xbb...feD3
149,19269857,0,0,0x09...8A7D
150,19195171,0,0,0x69...c90d
151,19161631,0,937908,0xc8...8AcA
152,19152596,0,0,0xeC...B2AB
153,19133255,0,957238,0xa4...1E3c
154,19051609,0,0,0x27...6c88
155,19003108,0,0,0xe2...4f3c
156,18911732,0,0,0x8D...9511
157,18724852,0,0,0xC5...947b
158,18450050,0,0,0xCc...bea8
159,18059365,0,0,0x0B...C342
160,18006709,0,0,0xe3...5579
161,17788002,0,0,0x57...a949
162,17766542,0,0,0x07...68f3
163,17765644,0,0,0x32...525D
164,17591150,0,0,0xde...A0a6
165,17343766,0,823947,0x8A...4785
166,17255305,10,17255305,0x74...652b
167,17210025,0,0,0x69...90FB
168,16840992,0,0,0x13...F53F
169,16812374,0,787544,0xC5...DA26
170,16695399,0,0,0xcc...4F03
171,16665112,0,0,0x81...2FEC
172,15782029,1,48134,0x3e...BBFD
173,15582031,0,0,0x13...D814
174,15355148,0,0,0x80...4929
175,15106248,0,713563,0xdc...236F
176,15087947,0,0,0xDF...B6C0
177,15053704,0,0,0x30...C665
178,14825959,0,0,0x35...9171
179,14799264,0,0,0xfc...DB68
180,14798220,0,0,0xDd...E12a
181,14453001,32,5709086,0xcE...1804
182,14320579,0,682502,0xB8...95D2
183,14165529,0,0,0x82...2253
184,13978985,0,0,0x5E...66aE
185,13952414,0,0,0x8f...ccE9
186,13847198,0,686733,0x46...7e97
187,13824801,0,0,0x08...a83c
188,13770218,3,1218048,0x4B...43a9
189,13678624,0,532286,0xdb...8726
190,13566712,0,0,0xBC...8bf7
191,13406765,1,245754,0x16...66B6
192,13381435,3,48863,0x9c...568F
193,13350534,0,253166,0xe7...40BE
194,13262793,0,0,0xEF...536E
195,13194974,0,632722,0x80...1CC8
196,13143054,0,0,0x3d...51Cf
197,13067001,0,0,0x04...3A07
198,12985000,0,618179,0x27...aA1b
199,12973494,0,0,0x7b...43e0
200,12875937,0,0,0xf3...1E72
201,12770461,0,0,0xCA...aa82
202,12585214,0,0,0xB3...3b82
203,12555240,0,0,0xED...655B
204,12475561,0,0,0x95...Ffa2
205,12367749,2,4138337,0xBD...2dDD
206,12349863,4,2074415,0xFd...6336
207,12344022,0,0,0x3B...BAba
208,12331278,0,0,0x22...DA2c
209,12234528,1,2156122,0x78...389b
210,12222038,0,0,0x48...0A82
211,12215446,0,0,0xd1...253a
212,12195364,0,0,0x77...437d
213,12022970,0,0,0x8E...D033
214,11997476,0,0,0x99...6E1b
215,11722359,0,0,0xd3...8Be4
216,11543501,1,11144,0x5d...6068
217,11515535,0,0,0x76...5B18
218,11431268,0,0,0x20...B881
219,11366104,0,0,0xCa...e9E5
220,11270717,0,0,0x34...8c22
221,11181302,0,0,0xcb...CFAe
222,11176829,0,0,0xbd...6d0C
223,11175436,0,0,0x77...1Fb9
224,10900774,0,0,0x6e...eEF8
225,10875565,0,0,0x98...4991
226,10775499,1,4124,0x2E...9119
227,10766716,0,0,0xbb...9365
228,10746734,0,0,0x89...381F
229,10691128,0,0,0x2c...27A4
230,10641510,0,0,0x2b...4AbD
231,10612789,1,525892,0xc0...EE9E
232,10542997,0,0,0x3f...482c
233,10520392,0,0,0x90...1b47
234,10434188,0,466959,0xB0...8C03
235,10373754,0,0,0xf5...4420
236,10359752,0,0,0xd7...B5E0
237,10289542,0,0,0xBA...bde4
238,10236411,0,483059,0x29...714A
239,10152450,0,0,0x4e...1B0b
240,10147884,0,0,0x2c...D003
241,10033081,0,0,0x5D...6759
242,9991724,0,0,0xD9...7C27
243,9822252,0,0,0xCD...3Ff7
244,9804042,0,0,0x3E...5A8E
245,9746349,0,476068,0xE5...c999
246,9731859,0,0,0x9b...a882
247,9669696,1,1136473,0x1b...B771
248,9649488,0,0,0x0c...2e31
249,9459227,0,0,0x12...Ad00
250,9424722,0,449972,0x57...9A38
251,9347226,0,0,0x13...4b84
252,9290128,0,0,0x07...805f
253,9265753,0,0,0xf0...9077
254,9191841,0,0,0xA3...0B5b
255,9143244,0,0,0xB3...216F
256,9106163,0,434235,0xc8...8916
257,8944440,0,0,0x79...0666
258,8798858,1,704618,0xE0...ea09
259,8789945,0,0,0xCE...5798
260,8777150,0,0,0x22...0D25
261,8693571,0,0,0xDE...6d7E
262,8682900,0,0,0x68...5D5f
263,8642193,0,0,0x31...9F67
264,8567005,0,397945,0x42...CF14
265,8307023,0,0,0x5A...CF94
266,8304327,0,0,0x65...c2e4
267,8273642,0,0,0xFF...0990
268,8215823,0,390939,0x1B...9469
269,8210927,0,0,0xC8...87BA
270,8151760,0,0,0xd9...bE76
271,8147703,0,0,0x33...Bda3
272,8117391,7,589248,0xe4...c542
273,8059213,0,0,0x0F...F4eF
274,8055973,8,5438960,0xfA...0161
275,8022283,0,0,0x2f...887F
276,7973076,0,0,0xc4...8392
277,7961515,0,0,0xee...4D5B
278,7917575,0,0,0xa4...A567
279,7916035,0,0,0x34...e8de
280,7756602,0,0,0xbe...6B69
281,7749293,0,0,0x8f...905f
282,7701319,0,0,0x7E...f505
283,7662855,0,0,0x90...6EC0
284,7610209,0,0,0xC3...6426
